PT141,,"S41°20'07.09203""","E174°47'05.12142""",,141.466,
PT142,,"S41°20'07.10513""","E174°47'05.22188""",,139.388,
PT143,,"S41°20'07.15597""","E174°47'05.23317""",,139.246,
PT144,,"S41°20'07.26388""","E174°47'05.26080""",,138.730,
PT145,,"S41°20'07.31795""","E174°47'05.28405""",,138.759,
PT146,,"S41°20'07.35544""","E174°47'05.28791""",,139.017,
PT147,,"S41°20'07.38716""","E174°47'05.28424""",,139.621,
PT148,,"S41°20'07.41233""","E174°47'05.27770""",,139.824,
PT149,,"S41°20'07.44537""","E174°47'05.27387""",,139.776,
PT150,,"S41°20'07.54728""","E174°47'05.43116""",,136.539,
PT151,,"S41°20'07.49677""","E174°47'05.41919""",,136.906,
PT152,,"S41°20'07.38212""","E174°47'05.40250""",,136.421,
PT153,,"S41°20'07.30748""","E174°47'05.41786""",,135.957,
PT154,,"S41°20'07.24538""","E174°47'05.43386""",,135.692,
PT155,,"S41°20'07.14166""","E174°47'05.47355""",,134.720,
PT156,,"S41°20'07.16533""","E174°47'05.47721""",,135.068,
PT157,,"S41°20'07.07603""","E174°47'05.43813""",,136.249,
PT158,,"S41°20'07.08620""","E174°47'05.36840""",,137.263,
PT159,,"S41°20'07.09408""","E174°47'05.31762""",,137.947,
PT160,,"S41°20'07.13602""","E174°47'05.27191""",,138.743,
PT161,,"S41°20'07.18595""","E174°47'05.28181""",,138.504,
PT162,,"S41°20'07.22840""","E174°47'05.28502""",,138.392,
PT163,,"S41°20'07.26440""","E174°47'05.28705""",,138.302,
PT166,,"S41°20'07.22532""","E174°47'05.32019""",,138.012,
PT167,,"S41°20'07.16355""","E174°47'05.34085""",,137.804,
PT168,,"S41°20'07.08700""","E174°47'05.52855""",,134.558,
PT169,,"S41°20'07.10904""","E174°47'05.53355""",,134.553,
PT170,,"S41°20'07.16072""","E174°47'05.52902""",,134.701,
PT171,,"S41°20'07.19722""","E174°47'05.51825""",,135.056,
PT172,,"S41°20'07.25768""","E174°47'05.48040""",,135.422,
PT173,,"S41°20'07.30643""","E174°47'05.47226""",,135.595,
PT174,,"S41°20'07.34800""","E174°47'05.46512""",,135.917,
PT175,,"S41°20'07.39062""","E174°47'05.46987""",,136.140,
PT176,,"S41°20'07.43064""","E174°47'05.46021""",,136.324,
PT177,,"S41°20'07.46134""","E174°47'05.46543""",,136.378,
PT178,,"S41°20'07.48764""","E174°47'05.45953""",,136.399,
PT179,,"S41°20'07.23320""","E174°47'05.60782""",,133.421,
PT180,,"S41°20'07.24601""","E174°47'05.62161""",,133.067,
PT181,,"S41°20'07.28352""","E174°47'05.66545""",,132.103,
PT182,,"S41°20'07.31335""","E174°47'05.67257""",,132.113,
PT183,,"S41°20'07.09965""","E174°47'05.72308""",,130.339,
PT184,,"S41°20'07.08855""","E174°47'05.76527""",,129.654,
PT185,,"S41°20'07.11820""","E174°47'05.77663""",,129.323,
PT186,,"S41°20'07.10780""","E174°47'05.79854""",,122.145,
PT187,,"S41°20'07.25434""","E174°47'05.75554""",,126.568,
PT188,,"S41°20'07.37070""","E174°47'05.73171""",,124.857,
PT189,,"S41°20'07.46148""","E174°47'05.76200""",,123.318,
PT190,,"S41°20'07.45269""","E174°47'05.75552""",,123.735,
PT191,,"S41°20'07.47607""","E174°47'05.67573""",,122.569,
PT192,,"S41°20'07.52711""","E174°47'05.75909""",,130.453,
PT193,,"S41°20'07.52444""","E174°47'05.70884""",,132.045,
PT194,,"S41°20'07.49348""","E174°47'05.71436""",,131.744,
PT195,,"S41°20'07.53792""","E174°47'05.64400""",,132.854,
PT196,,"S41°20'07.57546""","E174°47'05.87446""",,129.897,
PT197,,"S41°20'07.54144""","E174°47'05.89163""",,129.577,
PT198,,"S41°20'07.47154""","E174°47'05.89835""",,129.347,
PT199,,"S41°20'07.37785""","E174°47'05.87885""",,128.907,
PT200,,"S41°20'07.30596""","E174°47'05.88582""",,128.249,
PT201,,"S41°20'07.28904""","E174°47'05.78700""",,130.436,
PT202,,"S41°20'07.36311""","E174°47'05.72463""",,124.072,
PT203,,"S41°20'07.32759""","E174°47'05.55476""",,117.271,
PT204,,"S41°20'07.36997""","E174°47'05.55285""",,134.718,
PT205,,"S41°20'07.36664""","E174°47'05.58820""",,134.075,
PT206,,"S41°20'07.37496""","E174°47'05.62523""",,133.268,
PT207,,"S41°20'07.37695""","E174°47'05.63564""",,133.051,
PT208,,"S41°20'07.58241""","E174°47'05.15391""",,142.418,
PT209,,"S41°20'07.25942""","E174°47'04.57378""",,150.981,
PT210,,"S41°20'07.41929""","E174°47'04.43290""",,151.130,
PT211,,"S41°20'07.43004""","E174°47'04.30366""",,151.054,
PT212,,"S41°20'07.45188""","E174°47'04.19126""",,150.899,
PT213,,"S41°20'07.44949""","E174°47'04.04268""",,150.822,
PT214,,"S41°20'07.35160""","E174°47'04.07945""",,150.713,
PT215,,"S41°20'07.28735""","E174°47'04.09678""",,150.618,
PT216,,"S41°20'07.22590""","E174°47'04.11996""",,150.549,
PT217,,"S41°20'07.12688""","E174°47'04.12446""",,150.388,
PT218,,"S41°20'07.24451""","E174°47'04.18270""",,150.701,
PT219,,"S41°20'07.24711""","E174°47'04.27725""",,150.814,
PT220,,"S41°20'07.31402""","E174°47'04.31041""",,150.850,
PT221,,"S41°20'07.29526""","E174°47'04.46168""",,150.733,
PT222,,"S41°20'07.17985""","E174°47'04.54163""",,148.029,
PT1654,,"S41°20'07.31118""","E174°47'05.30033""",,138.434,
PT1655,,"S41°20'07.25899""","E174°47'05.32514""",,137.894,
SEPT,,"S41°20'07.47318""","E174°47'04.51794""",,150.600,
WGTN,,"S41°19'24.44584""","E174°48'21.21867""",,26.039,
,,,,,,
7/13/2020 11:46:02 AM,,M:\SCIFAC-Antarctic\ArranWhiteford\Arran_Data_2_EDIT.vce,,,,Trimble Business Center
